id,backfilled,base_score,computed_at,game_id,importance_multiplier,inning,inning_type,play_order,pregame_bonus,signal_contributions,source,tags,watch_score
19,f,15,2026-07-12 20:27:35.140859+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
20,f,15,2026-07-12 20:29:35.037675+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
21,f,15,2026-07-12 20:30:35.11398+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
22,f,15,2026-07-12 20:31:34.943042+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
23,f,15,2026-07-12 20:32:35.224544+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
24,f,15,2026-07-12 20:32:59.452254+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
25,f,15,2026-07-12 20:33:35.041982+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
26,f,15,2026-07-12 20:34:04.527351+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
27,f,15,2026-07-12 20:36:13.844271+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
28,f,15,2026-07-12 20:37:13.242334+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
29,f,15,2026-07-12 20:39:13.650284+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
30,f,15,2026-07-12 20:40:12.152531+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
31,f,15,2026-07-12 20:40:34.995323+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
32,f,15,2026-07-12 20:41:13.925127+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
33,f,15,2026-07-12 20:42:10.811829+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
